Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Cathal Gurrin,Myscéal 2.0: a revised experimental interactive lifelog retrieval system for LSC'21.,"Tran, Ly-Duyen, Nguyen, Manh-Duy, Thanh Binh, Nguyen, Lee, Hyowon, Gurrin, Cathal","Lifelog Search Challenge (LSC'21) at ACM IMCR'21, 19 Nov 2021",2021,"Ly-Duyen Tran, Manh-Duy Nguyen, Nguyen Thanh Binh, Hyowon Lee, Cathal Gurrin","Lee, Hyowon, ORCID: 0000-0003-4395-7702, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Tran, Ly-Duyen, Nguyen, Manh-Duy, Thanh Binh, Nguyen",978-1-4503-8533-6,,Conference or Workshop Item (Paper),Workshop,Yes,,,lifelog; interactive retrieval system; elasticsearch,Computer Science > Information retrieval. Computer Science > Multimedia systems. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26436,03 Nov 2021 16:06 by  Ly Duyen Tran. Last Modified 03 Nov 2021 16:06,Proceedings of the 4th Annual on Lifelog Search Challenge..  Association for Computing Machinery (ACM). ISBN 978-1-4503-8533-6,Association for Computing Machinery (ACM),https://doi.org/10.1145/3463948.3469064,©2021 Association for Computing Machinery.,"Science Foundation Ireland under grant numbers SFI/12/RC/2289, SFI/13/RC/2106, 18/CRT/6223 and 18/CRT/6224.",,,
Cathal Gurrin,Analysing the performance of stress detection models on consumer-grade wearable devices.,"Ninh, Van-Tu, Smyth, Sinéad, Tran, Minh-Triet, Gurrin, Cathal","International Conference on New Trends in Intelligent Software Methodologies, Tools and Techniques, 21-23 Septr 2021, Cancun, Mexico",2021,"Van-Tu Ninh, Sinéad Smyth, Minh-Triet Tran, Cathal Gurrin","Ninh, Van-Tu, ORCID: 0000-0003-0641-8806, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Smyth, Sinéad, Tran, Minh-Triet",978-1-64368-195-5,,Conference or Workshop Item (Paper),Conference,Yes,,,Stress detection using Electrodermal Activity signal; Model Selection; Statistical Analysis; Hypothesis Testing,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Science and Health > School of Psychology. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26428,03 Nov 2021 13:03 by  Van Tu Ninh. Last Modified 03 Nov 2021 13:03,"Fujita, Hamido and Perez-Meana, Hector, (eds.)New Trends in Intelligent Software Methodologies, Tools and Techniques. Frontiers in Artificial Intelligence and Applications337.  IOS Press BV. ISBN 978-1-64368-195-5",IOS Press BV,https://dx.doi.org/10.3233/FAIA210050,© 2021 IOS Press,"ADAPT Core under Grant Agreement No. 13/RC/2106, Science Foundation Ireland (SF) Research Centres Programme and is co-funded under the European Regional Development Fund (ERDF) through Grant Number 13/RC/2106 References P2.",,,
Cathal Gurrin,Memento: a prototype lifelog search engine for LSC’21.,"Alam, Naushad, Graham, Yvette, Gurrin, Cathal","The fourth Lifelog Search Challenge (LSC 21), 19th Nov 2021, Taipei, Taiwan (Online)",2021,"Naushad Alam, Yvette Graham, Cathal Gurrin","Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Alam, Naushad, Graham, Yvette",978-1-4503-8533-6,,Conference or Workshop Item (Paper),Workshop,Yes,,,semantic image representation,Computer Science > Information retrieval. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,26463,15 Nov 2021 12:45 by  Naushad Alam. Last Modified 17 Nov 2021 11:33,LSC '21: Proceedings of the 4th Annual on Lifelog Search Challenge..  Association for Computing Machinery (ACM). ISBN 978-1-4503-8533-6,Association for Computing Machinery (ACM),https://doi.org/10.1145/3463948.3469069,©2021 The Authors. Open access (CC-BY-4.0),"y Science Foundation Ireland (SFI) under Grant Number SFI/12/RC/2289_P2, co-funded by the European Regional Development Fund.",,,
Cathal Gurrin,A VR interface for browsing visual spaces at VBS2021.,"Tran, Ly-Duyen, Nguyen, Manh-Duy, Nguyen, Thao-Nhu, Healy, Graham, Caputo, Annalina, Nguyen, Binh T., Gurrin, Cathal",International Conference on Multimedia Modeling,2021,"Ly-Duyen Tran, Manh-Duy Nguyen, Thao-Nhu Nguyen, Graham Healy, Annalina Caputo, Binh T. Nguyen, Cathal Gurrin","Healy, Graham, ORCID: 0000-0001-6429-6339, Caputo, Annalina, ORCID: 0000-0002-7144-8545, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Tran, Ly-Duyen, Nguyen, Manh-Duy, Nguyen, Thao-Nhu, Nguyen, Binh T.",978-3-030-67834-0,,Conference or Workshop Item (Paper),Conference,Yes,,,Video Browser Showdown; Interactive Retrieval; Virtual Reality; Eolas,Computer Science > Artificial intelligence. Computer Science > Information retrieval. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,25805,26 Apr 2021 11:10 by  Annalina Caputo. Last Modified 26 Apr 2021 11:10,"MultiMedia Modeling. MMM 2021, Proceedings. Lecture Notes in Computer Science12573.  Springer International Publishing. ISBN 978-3-030-67834-0",Springer International Publishing,https://dx.doi.org/10.1007/978-3-030-67835-7_50,© 2021 The Authors,Science Foundation Ireland under grant numbers 18/CRT/6223 and 18/CRT/6224,,,
Cathal Gurrin,DCU team at the NTCIR-15 micro-activity retrieval task.,"Le, Tu-Khiem, Nguyen, Manh-Duy, Tran, Ly-Duyen, Ninh, Van-Tu, Gurrin, Cathal, Healy, Graham","NTCIR-15, 8-11 Dec 2020, Tokyo, Japan.",2020,"Tu-Khiem Le, Manh-Duy Nguyen, Ly-Duyen Tran, Van-Tu Ninh, Cathal Gurrin, Graham Healy","Le, Tu-Khiem, ORCID: 0000-0003-3013-9380, Ninh, Van-Tu, ORCID: 0000-0003-0641-8806, Gurrin, Cathal, ORCID: 0000-0003-4395-7702, Healy, Graham, ORCID: 0000-0001-6429-6339","Nguyen, Manh-Duy, Tran, Ly-Duyen",,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Image processing. Computer Science > Information retrieval. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,26443,05 Nov 2021 11:36 by  Manh Duy Nguyen. Last Modified 05 Nov 2021 11:36,Proceedings of the 15th NTCIR Conference on Evaluation of Information Access Technologies..  NTCIR.,NTCIR,http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings15/NTCIR/toc_ntcir.html,© 2020 The Authors,"Science Foundation Ireland under grant numbers SFI/12/RC/2289_2, SFI/13/RC/2106, 18/CRT/6223, and 18/CRT/6224, Dublin City University’s Research Committee",,,
Cathal Gurrin,FIRST - Flexible interactive retrieval SysTem for visual lifelog exploration at LSC 2020.,"Tran, Minh-Triet, Nguyen, Thanh-An, Tran, Quoc-Cuong, Tran, Mai-Khiem, Nguyen, Khanh, Ninh, Van-Tu, Le, Tu-Khiem, Trang-Trung, Hoang-Phuc, Le, Hoang-Anh, Nguyen, Hai-Dang, Do, Trong-Le, Vo-Ho, Viet-Khoa, Gurrin, Cathal","Third Annual Workshop on Lifelog Search Challenge (LSC'20), 27 Oct 2020, Dublin, Ireland",2020,"Minh-Triet Tran, Thanh-An Nguyen, Quoc-Cuong Tran, Mai-Khiem Tran, Khanh Nguyen, Van-Tu Ninh, Tu-Khiem Le, Hoang-Phuc Trang-Trung, Hoang-Anh Le, Hai-Dang Nguyen, Trong-Le Do, Viet-Khoa Vo-Ho, Cathal Gurrin","Ninh, Van-Tu, ORCID: 0000-0003-0641-8806, Le, Tu-Khiem, ORCID: 0000-0003-3013-9380, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Tran, Minh-Triet, Nguyen, Thanh-An, Tran, Quoc-Cuong, Tran, Mai-Khiem, Nguyen, Khanh, Trang-Trung, Hoang-Phuc, Le, Hoang-Anh, Nguyen, Hai-Dang, Do, Trong-Le, Vo-Ho, Viet-Khoa",978-1-4503-7136-0,,Conference or Workshop Item (Paper),Conference,Yes,,,lifelog; information system; interactive retrieval; component integration,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24640,17 Jun 2020 14:21 by  Cathal Gurrin. Last Modified 29 Sep 2020 11:46,Proceedings of the Third Annual Workshop on Lifelog Search Challenge (LSC'20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7136-0,Association for Computing Machinery (ACM),https://doi.org/10.1145/3379172.3391726,© 2020 The Authors,"Vingroup Innovation Foundation (VINIF) in project code VINIF.2019.DA19, Vietnam Ireland Bilateral Education Exchange Programme (VIBE) 2019",,,
Cathal Gurrin,Guest editorial: special issue on lifelogging behaviour and practice.,"Hopfgartner, Frank, Gurrin, Cathal, Joho, Hideo","Online Information Review, 44 (2). pp. 477-481",2020,"Frank Hopfgartner, Cathal Gurrin, Hideo Joho","Hopfgartner, Frank, ORCID: 0000-0003-0380-6088, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Joho, Hideo",,1468-4527,Article (Published),,No,,,lifelogging; self-tracking; quantified self,Computer Science > Image processing. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,24670,29 Jun 2020 16:29 by  Cathal Gurrin. Last Modified 20 May 2021 13:38,,Emerald,http://dx.doi.org/10.1108/OIR-04-2020-398,"© 2020, Emerald",,,,
Cathal Gurrin,LifeSeeker 2.0: interactive lifelog search engine at LSC 2020.,"Le, Tu-Khiem, Ninh, Van-Tu, Tran, Minh-Triet, Nguyen, Thanh-An, Nguyen, Hai-Dang, Zhou, Liting, Healy, Graham, Gurrin, Cathal","Annual Workshop on Lifelog Search Challenge (LSC'20), 27 Oct 2020, Dublin, Ireland",2020,"Tu-Khiem Le, Van-Tu Ninh, Minh-Triet Tran, Thanh-An Nguyen, Hai-Dang Nguyen, Liting Zhou, Graham Healy, Cathal Gurrin","Le, Tu-Khiem, ORCID: 0000-0003-3013-9380, Zhou, Liting, ORCID: 0000-0002-7778-8743, Healy, Graham, ORCID: 0000-0001-6429-6339, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Ninh, Van-Tu, Tran, Minh-Triet, Nguyen, Thanh-An, Nguyen, Hai-Dang",978-1-4503-7136-0,,Conference or Workshop Item (Paper),Conference,Yes,,,lifelog; information system; interactive retrieval,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24639,17 Jun 2020 14:46 by  Cathal Gurrin. Last Modified 20 May 2021 13:48,Proceedings of the Third Annual Workshop on Lifelog Search Challenge (LSC'20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7136-0,Association for Computing Machinery (ACM),https://doi.org/10.1145/3379172.3391724,© 2020 The Authors,"Irish Research Council (IRC) under Grant Number GOIPG/2016/741, Science Foundation Ireland under grant numbers SFI/12/RC/2289 and SFI/13/RC/2106, Vietnam Ireland Bilateral Education Exchange Programme (VIBE) 2019",,,
Cathal Gurrin,Myscéal: an experimental interactive lifelog retrieval system for LSC'20.,"Tran, Ly-Duyen, Nguyen, Manh-Duy, Binh, Nguyen Thanh, Lee, Hyowon, Gurrin, Cathal","Third Annual Workshop on Lifelog Search Challenge (LSC'20), 27 Oct 2020, Dublin, Ireland",2020,"Ly-Duyen Tran, Manh-Duy Nguyen, Nguyen Thanh Binh, Hyowon Lee, Cathal Gurrin","Lee, Hyowon, ORCID: 0000-0003-4395-7702, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Tran, Ly-Duyen, Nguyen, Manh-Duy, Binh, Nguyen Thanh",978-1-4503-7136-0,,Conference or Workshop Item (Paper),Workshop,Yes,,,elasticsearch; interactive retrieval system; lifelog,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24638,17 Jun 2020 14:03 by  Cathal Gurrin. Last Modified 17 Jun 2020 14:03,Proceedings of the Third Annual Workshop on Lifelog Search Challenge (LSC'20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7136-0,Association for Computing Machinery (ACM),https://doi.org/10.1145/3379172.3391719,© 2020 The Authors,"Science Foundation Ireland under grant numbers SFI/12/RC/2289, SFI/13/RC/2106, 18/CRT/6223 and 18/CRT/6224.",,,
Cathal Gurrin,VRLE: Lifelog interaction prototype in virtual reality: lifelog search challenge at ACM ICMR 2020.,"Duane, Aaron, Jónsson, Björn Þór, Gurrin, Cathal","Third Annual Workshop on Lifelog Search Challenge (LSC'20), 27 Oct 2020, Dublin, Ireland",2020,"Aaron Duane, Björn Þór Jónsson, Cathal Gurrin","Duane, Aaron, ORCID: 0000-0002-9825-1654, Jónsson, Björn Þór, ORCID: 0000-0003-0889-3491, Gurrin, Cathal, ORCID: 0000-0003-4395-7702",,978-1-4503-7136-0,,Conference or Workshop Item (Paper),Workshop,Yes,,,"interactive retrieval; virtual reality; lifelogging, lifelog",UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24637,17 Jun 2020 10:53 by  Cathal Gurrin. Last Modified 20 May 2021 13:19,Proceedings of the Third Annual Workshop on Lifelog Search Challenge..  Association for Computing Machinery. ISBN 978-1-4503-7136-0,Association for Computing Machinery,https://doi.org/10.1145/3379172.3391716,© The Authors 2020,,Part of International Conference on Multimedia Retrieval (ICMR2020),,
Cathal Gurrin,Voxento: a prototype voice-controlled interactive search engine for lifelogs.,"Alateeq, Ahmed, Roantree, Mark, Gurrin, Cathal","Third Annual Workshop on Lifelog Search Challenge (LSC'20), 27 Oct 2020, Dublin, Ireland",2020,"Ahmed Alateeq, Mark Roantree, Cathal Gurrin","Roantree, Mark, ORCID: 0000-0002-1329-2570, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Alateeq, Ahmed",978-1-4503-7136-0,,Conference or Workshop Item (Paper),Conference,Yes,,,lifelog; speech recognition; voice interaction; interactive retrieval,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24641,17 Jun 2020 15:20 by  Cathal Gurrin. Last Modified 17 Jun 2020 15:20,Proceedings of the Third Annual Workshop on Lifelog Search Challenge (LSC'20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7136-0,Association for Computing Machinery (ACM),https://doi.org/10.1145/3379172.3391728,© 2020 The Authors,Science Foundation Ireland and the Insight Centre for Data Analytics through the grant number SFI/12/RC/2289-P2,,,
Cathal Gurrin,A Framework for paper submission recommendation system.,"Cuong, Dinh V., Nguyen, Dac, Huynh, Son, Huynh, Phong, Gurrin, Cathal, Dao, Minh-Son, Dang-Nguyen, Duc-Tien, Nguyen, Binh T.","International Conference on Multimedia Retrieval (ICMR'20), 26–29 Oct 2020, Dublin, Ireland",2020,"Dinh V. Cuong, Dac Nguyen, Son Huynh, Phong Huynh, Cathal Gurrin, Minh-Son Dao, Duc-Tien Dang-Nguyen, Binh T. Nguyen","Gurrin, Cathal, ORCID: 0000-0003-4395-7702, Dang-Nguyen, Duc-Tien, ORCID: 0000-0002-2761-2213","Cuong, Dinh V., Nguyen, Dac, Huynh, Son, Huynh, Phong, Dao, Minh-Son, Nguyen, Binh T.",978-1-4503-7087-5,,Conference or Workshop Item (Paper),Conference,Yes,,,deep learning; recommendation system; paper submission,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24635,17 Jun 2020 13:24 by  Cathal Gurrin. Last Modified 22 Mar 2021 17:02,Proceedings of the 2020 International Conference on Multimedia Retrieval (ICMR'20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7087-5,Association for Computing Machinery (ACM),https://doi.org/10.1145/3372278.3391929,© 2020 The Authors.,"Science Foundation Ireland under grant number SFI/13/RC/2106, L. Meltzers Høyskolefonds, UiB 2019/2259-NILSO",,,
Cathal Gurrin,An active learning framework for duplicate detection in SaaS platforms.,"Nguyen, Quy H., Nguyen, Dac, Dao, Minh-Son, Dang-Nguyen, Duc-Tien, Gurrin, Cathal, Nguyen, Binh T.","Proceedings of the 2020 International Conference on Multimedia Retrieval (ICMR '20), 26–29 Oct 2020, Dublin, Ireland",2020,"Quy H. Nguyen, Dac Nguyen, Minh-Son Dao, Duc-Tien Dang-Nguyen, Cathal Gurrin, Binh T. Nguyen","Dang-Nguyen, Duc-Tien, ORCID: 0000-0002-2761-2213, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Nguyen, Quy H., Nguyen, Dac, Dao, Minh-Son, Nguyen, Binh T.",978-1-4503-7087-5,,Conference or Workshop Item (Paper),Conference,Yes,,,active learning; datasets; triplet loss; duplicate removal,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24631,17 Jun 2020 13:42 by  Cathal Gurrin. Last Modified 17 Jun 2020 13:42,Proceedings of the 2020 International Conference on Multimedia Retrieval (ICMR '20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7087-5,Association for Computing Machinery (ACM),https://doi.org/10.1145/3372278.3391933,© 2020 The Authors,"Science Foundation Ireland  SFI/13/RC/2106, L. Meltzers Høyskolefonds, UiB 2019/2259-NILSO",,,
Cathal Gurrin,Detection of semantic risk situations in lifelog data for improving life of frail people.,"Yebda, Thinhinane, Benois-Pineau, Jenny, Pech, Marion, Amièva, Hélène, Gurrin, Cathal","2020 International Conference on Multimedia Retrieval (ICMR'20), 26-29 June 2020, Dublin, Ireland",2020,"Thinhinane Yebda, Jenny Benois-Pineau, Marion Pech, Hélène Amièva, Cathal Gurrin","Benois-Pineau, Jenny, ORCID: 0000-0003-0659-8894, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Yebda, Thinhinane, Pech, Marion, Amièva, Hélène",978-1-4503-7087-5,,Conference or Workshop Item (Paper),Conference,Yes,,,neural network; classification; risk situations detection; CNN networks,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24629,17 Jun 2020 12:06 by  Cathal Gurrin. Last Modified 17 Jun 2020 12:06,Proceedings of the 2020 International Conference on Multimedia Retrieval..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7087-5,Association for Computing Machinery (ACM),https://doi.org/10.1145/3372278.3391931,© 2020 The Authors,"French national ANRT grant:, AAP 2019 ""Digital Health Challenge"" grant, ALLOCATION: SSESE1902GA and InflexSys project",,,
Cathal Gurrin,Introduction to the Third Annual Lifelog Search Challenge (LSC'20).,"Gurrin, Cathal, Le, Tu-Khiem, Ninh, Van-Tu, Dang-Nguyen, Duc-Tien, Jónsson, Björn Þór, Lokoč, Jakub, Hurst, Wolfgang, Tran, Minh-Triet, Schoeffmann, Klaus","Proceedings of the 2020 International Conference on Multimedia Retrieval, 26-29 Oct 2020, Dublin, Ireland",2020,"Cathal Gurrin, Tu-Khiem Le, Van-Tu Ninh, Duc-Tien Dang-Nguyen, Björn Þór Jónsson, Jakub Lokoč, Wolfgang Hurst, Minh-Triet Tran, Klaus Schoeffmann","Gurrin, Cathal, ORCID: 0000-0003-4395-7702, Le, Tu-Khiem, ORCID: 0000-0003-3013-9380, Dang-Nguyen, Duc-Tien, ORCID: 0000-0002-2761-2213, Jónsson, Björn Þór, ORCID: 0000-0003-0889-3491, Lokoč, Jakub, ORCID: 0000-0002-3558-4144, Tran, Minh-Triet, ORCID: 0000-0003-3046-3041","Ninh, Van-Tu, Hurst, Wolfgang, Schoeffmann, Klaus",978-1-4503-7087-5,,Conference or Workshop Item (Paper),Conference,Yes,,,benchmarking; lifelog; interactive retrieval systems,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24636,17 Jun 2020 11:42 by  Cathal Gurrin. Last Modified 12 May 2021 12:22,Proceedings of the 2020 International Conference on Multimedia Retrieval(ICMR20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7087-5,Association for Computing Machinery (ACM),https://doi.org/10.1145/3372278.3388043,© 2020 The Authors,"Science Foundation Ireland  SFI/12/RC/2289 and SFI/13/RC/2106, Vingroup Innovation Foundation (VINIF) with project code VINIF.2019.DA19, Czech Science Foundation (GAČR) project 19-22071Y, Vietnam Ireland Bilateral Education Exchange Programme (VIBE) 2019",,,
Cathal Gurrin,Duplicate identification algorithms in SaaS platforms.,"Nguyen, Dac, Nguyen, Quy H., Dao, Minh-Son, Dang-Nguyen, Duc-Tien, Gurrin, Cathal, Nguyen, Binh T.","2020 Intelligent Cross-Data Analysis and Retrieval Workshop (ICDAR'20), 20-26 Oct 2020, Dublin, Ireland",2020,"Dac Nguyen, Quy H. Nguyen, Minh-Son Dao, Duc-Tien Dang-Nguyen, Cathal Gurrin, Binh T. Nguyen","Dang-Nguyen, Duc-Tien, ORCID: 0000-0002-2761-2213, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Nguyen, Dac, Nguyen, Quy H., Dao, Minh-Son, Nguyen, Binh T.",978-1-4503-7509-2,,Conference or Workshop Item (Paper),Workshop,Yes,,,siamese; software-as-a-service; bi-gru; triplet loss; duplicate identification,Computer Science > Computer security. Computer Science > Software engineering. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24667,22 Jun 2020 15:32 by  Cathal Gurrin. Last Modified 22 Jun 2020 15:32,Proceedings of the 2020 Intelligent Cross-Data Analysis and Retrieval Workshop (ICDAR'20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7509-2,Association for Computing Machinery (ACM),https://doi.org/10.1145/3379174.3392319,© 2020 The Authors,"Science Foundation Ireland under grant number SFI/13/RC/2106, L. Meltzers Høyskolefonds, UiB 2019/2259-NILSO",,,
Cathal Gurrin,Malware detection using system logs.,"Nguyen, Nhu T., Pham, Thuy T., Dang, Tien X., Dao, Minh-Son, Dang-Nguyen, Duc-Tien, Gurrin, Cathal, Nguyen, Binh T.","2020 Intelligent Cross-Data Analysis and Retrieval Workshop (ICDAR'20), 26 Oct 2020, Dublin, Ireland",2020,"Nhu T. Nguyen, Thuy T. Pham, Tien X. Dang, Minh-Son Dao, Duc-Tien Dang-Nguyen, Cathal Gurrin, Binh T. Nguyen","Dang-Nguyen, Duc-Tien, ORCID: 0000-0002-2761-2213, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Nguyen, Nhu T., Pham, Thuy T., Dang, Tien X., Dao, Minh-Son, Nguyen, Binh T.",978-1-4503-7087-5,,Conference or Workshop Item (Paper),Workshop,Yes,,,malware detection; SVMs; IoT;  XGBoost; random forest,Computer Science > Computer security. Computer Science > Software engineering. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24668,22 Jun 2020 15:47 by  Cathal Gurrin. Last Modified 22 Jun 2020 15:47,Proceedings of the 2020 Intelligent Cross-Data Analysis and Retrieval Workshop (ICDAR ’20)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-7087-5,Association for Computing Machinery (ACM),https://doi.org/10.1145/3379174.3392318,© 2020 ACM,"Science Foundation Ireland under grant number SFI/13/RC/2106, L. Meltzers Høyskolefonds, UiB 2019/2259-NILSO",,,
Cathal Gurrin,Considerations on privacy in the era of digitally logged lives.,"Gupta, Rashmi, Crane, Martin, Gurrin, Cathal","Online Information Review, 45 (2)",2020,"Rashmi Gupta, Martin Crane, Cathal Gurrin","Crane, Martin, ORCID: 0000-0001-7598-3126, Gurrin, Cathal, ORCID: 0000-0003-4395-7702","Gupta, Rashmi",,1468-4527,Article (Published),,Yes,,,Lifelogging; privacy; data anonymisation; privacy access levels,Computer Science > Lifelog,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,,25424,25 Jan 2021 13:05 by  Cathal Gurrin. Last Modified 13 May 2021 15:02,,Emerald Publishing,http://dx.doi.org/10.1108/OIR-04-2018-0119,© 2020 Emerald Publishing,Science Foundation Ireland (SFI) under grant number SFI/12/RC/2289,,,
