Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Andy Way,MT syntactic priming effects on L2 English speakers,"Natália Resende, Benjamin Cowan, Andy Way",European Association for Machine Translation (EAMT),1,2020
Andy Way,Machine translation: where are we at today?,Andy Way,The Bloomsbury companion to language industry studies 311-332,16,2020
Andy Way,Effectively aligning and filtering parallel corpora under sparse data conditions,"Steinþór Steingrímsson, Hrafn Loftsson, Andy Way",Proceedings of the 58th Annual Meeting of the Association for Computational …,1,2020
Andy Way,MTrill project: Machine Translation impact on language learning,"Natália Resende, Andy Way",European Association for Machine Translation (EAMT),0,2020
Andy Way,Syntax-Informed Interactive Neural Machine Translation,"Kamal Kumar Gupta, Rejwanul Haque, Asif Ekbal, Pushpak Bhattacharyya, Andy Way",2020 International Joint Conference on Neural Networks (IJCNN) 1-8,0,2020
Andy Way,The ADAPT Centre’s Neural MT Systems for the WAT 2020 Document-Level Translation Task,"Wandri Jooste, Rejwanul Haque, Andy Way",Proceedings of the 7th Workshop on Asian Translation 142-146,1,2020
Andy Way,The Impact of Indirect Machine Translation on Sentiment Classification,"Alberto Poncelas, Pintu Lohar, Andy Way, James Hadley",arXiv preprint arXiv:2008.11257,2,2020
Andy Way,Terminology-aware sentence mining for NMT domain adaptation: ADAPT’s submission to the Adap-MT 2020 English-to-Hindi AI translation shared task,"Rejwanul Haque, Yasmin Moslem, Andy Way",NLP Association of India (NLPAI),0,2020
Andy Way,Identifying complaints from product reviews in low-resource scenarios via neural machine translation,"Raghvendra Pratap Singh, Rejwanul Haque, Mohammad Hasanuzzaman, Andy Way",Association for Computational Linguistics (ACL),0,2020
Andy Way,Identifying complaints from product reviews: a case study on Hindi,"Raghvendra Pratap Singh, Rejwanul Haque, Mohammad Hasanuzzaman, Andy Way",CUER-WS,0,2020
Andy Way,Arabisc: context-sensitive neural spelling checker,"Yasmin Moslem, Rejwanul Haque, Andy Way",,0,2020
Andy Way,Investigating low-resource machine translation for English-to-Tamil,"Akshai Ramesh, Venkatesh Balavadhani Parthasarathy, Rejwanul Haque, Andy Way",,2,2020
Andy Way,An error-based investigation of statistical and neural machine translation performance on Hindi-to-Tamil and English-to-Tamil,"Akshai Ramesh, Venkatesh Balavadhani Parthasarathy, Rejwanul Haque, Andy Way",,2,2020
Andy Way,The ADAPT Centre’s Participation in WAT 2020 English-to-Odia Translation Task,"Prashanth Nayak, Rejwanul Haque, Andy Way",Proceedings of the 7th Workshop on Asian Translation 114-117,1,2020
Andy Way,A review of the state-of-the-art in automatic post-editing,"Felix Do Carmo, Dimitar Shterionov, Joss Moorkens, Joachim Wagner, Murhaf Hossari, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way",Machine Translation 1-43,4,2020
Andy Way,Neural machine translation for translating into Croatian and Serbian,"Maja Popovic, Alberto Poncelas, Marija Brkic, Andy Way",Proceedings of the 7th Workshop on NLP for Similar Languages Varieties and …,4,2020
Andy Way,Using Multiple Subwords to Improve English-Esperanto Automated Literary Translation Quality,"Alberto Poncelas, Jan Buts, James Hadley, Andy Way",arXiv preprint arXiv:2011.14190,0,2020
Andy Way,The ADAPT’s Submissions to the WMT20 Biomedical Translation Task,"Prashant Nayak, Rejwanul Haque, Andy Way",Proceedings of the Fifth Conference on Machine Translation 841-848,3,2020
Andy Way,"A Case Study of Natural Gender Phenomena in Translation A Comparison of Google Translate, Bing Microsoft Translator and DeepL for English to Italian, French and Spanish","Argentina Anna Rescigno, Eva Vanmassenhove, Johanna Monti, Andy Way",Association for Machine Translation in the Americas (AMTA): Workshop on the …,2,2020
Andy Way,Constraining the Transformer NMT Model with Heuristic Grid Beam Search,"Guodong Xie, Andy Way",Proceedings of the 14th Conference of the Association for Machine …,0,2020
Andy Way,A roadmap to neural automatic post-editing: an empirical approach,"Dimitar Shterionov, Felix Do Carmo, Joss Moorkens, Murhaf Hossari, Joachim Wagner, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way",Machine Translation 34 (2) 67-96,2,2020
Andy Way,Parallel data extraction using word embeddings,"Pintu Lohar, Way Way",AIRCC Publishing Corporation 10 (15),0,2020
Andy Way,Analysing terminology translation errors in statistical and neural machine translation,"Rejwanul Haque, Mohammad Hasanuzzaman, Andy Way",Machine Translation 34 (2) 149-195,6,2020
Andy Way,"Proceedings of Machine Translation Summit XVII Volume 2: Translator, Project and User Tracks","Mikel Forcada, Andy Way, John Tinsley, Dimitar Shterionov, Celia Rico, Federico Gaspari",Proceedings of Machine Translation Summit XVII Volume 2: Translator Project …,0,2019
Andy Way,Multimodal image news article alignment,"Haree Jeyaram, Mohammad Hasanuzzaman, Iacer Calixto, Andy Way",,0,2019
Andy Way,Lost in translation: loss and decay of linguistic richness in machine translation,"Andy Way, Dimitar Shterionov, Eva Vanmassenhove",European Association for Machine Translation,0,2019
Andy Way,Building English-to-Serbian machine translation system for IMDb movie reviews,"Andy Way, Pintu Lohar, Maja Popovic",ACL Anthology,0,2019
Andy Way,When less is more in neural quality estimation of machine translation. An industry case study,"Andy Way, Dimitar Shterionov, Felix Do Carmo, Joss Moorkens, Eric Paquin, Dag Schmidtke, Declan Groves",European Association for Machine Translation,0,2019
Andy Way,Adaptando NMT a la traducción de pies de imagen en Wikimedia Commons para idiomas con pocos recursos,"Gorka Labaka Intxauspe, Iñaki Alegría Loinaz, Alberto Poncelas, Kepa Sarasola, Meghan Dowling, Andy Way",Procesamiento del lenguaje natural 33-40,0,2019
Andy Way,ABI Neural Ensemble Model for Gender Prediction.,"Eva Vanmassenhove, Amit Moryossef, Alberto Poncelas, Andy Way, Dimitar Shterionov",GxG@ CLIN 53-61,0,2019
Andy Way,Large-scale machine translation evaluation of the iADAATPA Project,"Sheila Castilho, Natália Resende, Federico Gaspari, Andy Way, Tony O’Dowd, Marek Mazur, Manuel Herranz, Alex Helle, Gema Ramirez-Sanchez, Víctor Sánchez-Cartagena, Marcis Pinnis, Valters Sics",European Association for Machine Translation,6,2019
Andy Way,Proceedings of the Qualities of Literary Machine Translation,"James Hadley, Maja Popovic, Haithem Afli, Andy Way",Proceedings of the Qualities of Literary Machine Translation,0,2019
Andy Way,Proceedings of Machine Translation Summit XVII Volume 1: Research Track,"Mikel Forcada, Andy Way, Barry Haddow, Rico Sennrich",Proceedings of Machine Translation Summit XVII Volume 1: Research Track,0,2019
Andy Way,Pivot Machine Translation in INTERACT Project,"Chao-Hong Liu, Andy Way, Catarina Silva, André Ft Martins",Proceedings of Machine Translation Summit XVII Volume 2: Translator Project …,0,2019
Andy Way,"PRINCIPLE: Providing Resources in Irish, Norwegian, Croatian and Icelandic for the Purposes of Language Engineering","Andy Way, Federico Gaspari",Proceedings of Machine Translation Summit XVII Volume 2: Translator Project …,1,2019
Andy Way,Leveraging backtranslation to improve machine translation for Gaelic language,"Meghan Dowling, Teresa Lynn, Andy Way",ACL Anthology,1,2019
Andy Way,A systematic comparison between SMT and NMT on translating user-generated content,"Pintu Lohar, Maja Popovic, Haithem Afli, Andy Way",Springer,5,2019
Andy Way,When less is more in Neural Quality Estimation of Machine Translation. An industry case study,"Dimitar Shterionov, Felix Do Carmo, Joss Moorkens, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way",Proceedings of Machine Translation Summit XVII Volume 2: Translator Project …,1,2019
Andy Way,Adapting NMT to caption translation in Wikimedia Commons for low-resource languages,"Alberto Poncelas, Kepa Sarasola, Meghan Dowling, Andy Way, Gorka Labaka Intxauspe, Iñaki Alegría Loinaz",Sociedad Española para el Procesamiento del Lenguaje Natural,3,2019
Andy Way,No padding please: efficient neural handwriting recognition,"Gideon Maillette De Buy Wenniger, Lambert Schomaker, Andy Way",arXiv preprint arXiv:1902.11208,2,2019
Andy Way,ABI neural ensemble model for gender prediction adapt Bar-ilan submission for the Clin29 shared task on gender prediction,"Eva Vanmassenhove, Amit Moryossef, Alberto Poncelas, Andy Way, Dimitar Shterionov",arXiv preprint arXiv:1902.08856,2,2019
Andy Way,Terminology translation in low-resource scenarios,"Rejwanul Haque, Mohammad Hasanuzzaman, Andy Way",Information 10 (9) 273,2,2019
Andy Way,Creating a multimodal translation tool and testing machine translation integration using touch and voice,"Carlos Sc Teixeira, Joss Moorkens, Daniel Turner, Joris Vreeke, Andy Way",Informatics 6 (1) 13,8,2019
Andy Way,Combining SMT and NMT back-translated data for efficient NMT,"Alberto Poncelas, Maja Popovic, Dimitar Shterionov, Gideon Maillette De Buy Wenniger, Andy Way",arXiv preprint arXiv:1909.03750,11,2019
Andy Way,"Ruslan Mitkov, Johanna Monti, Gloria Corpas Pastor, and Violeta Seretan (eds): multiword units in machine translation and translation technology","Rejwanul Haque, Mohammad Hasanuzzaman, Andy Way",Machine Translation 33 (4) 349-354,2,2019
Andy Way,Investigating backtranslation for the improvement of English-Irish machine translation,"Meghan Dowling, Teresa Lynn, Andy Way",TEANGA the Journal of the Irish Association for Applied Linguistics 26 1 …,2,2019
Andy Way,On the use of bert for neural machine translation,"Stephane Clinchant, Kweon Woo Jung, Vassilina Nikoulina",arXiv preprint arXiv:1909.12744,40,2019
Andy Way,Selecting artificially-generated sentences for fine-tuning neural machine translation,"Alberto Poncelas, Andy Way",arXiv preprint arXiv:1909.12016,8,2019
Andy Way,Mining Purchase Intent in Twitter,"Rejwanul Haque, Arvind Ramadurai, Mohammad Hasanuzzaman, Andy Way",Computación y Sistemas 23 (3),5,2019
Andy Way,No padding please: Efficient neural handwriting recognition,"Gideon Maillette De Buy Wenniger, Lambert Schomaker, Andy Way",2019 International Conference on Document Analysis and Recognition (ICDAR …,7,2019
Andy Way,Getting gender right in neural machine translation,"Eva Vanmassenhove, Christian Hardmeier, Andy Way",arXiv preprint arXiv:1909.05088,85,2019
Andy Way,Investigating terminology translation in statistical and neural machine translation: A case study on english-to-hindi and hindi-to-english,"Rejwanul Haque, Mohammad Hasanuzzaman, Andy Way",Proceedings of the International Conference on Recent Advances in Natural …,6,2019
Andy Way,Take help from elder brother: old to modern english nmt with phrase pair feedback,"Sukanta Sen, Mohammad Hasanuzzaman, Asif Ekbal, Pushpak Bhattacharyya, Andy Way",Proceedings of the International Conference on Computational Linguistics and …,5,2019
Andy Way,Transductive data-selection algorithms for fine-tuning neural machine translation,"Alberto Poncelas, Gideon Maillette De Buy Wenniger, Andy Way",arXiv preprint arXiv:1908.09532,4,2019
Andy Way,"Multiword units in machine translation and translation technology--Ruslan Mitkov, Johanna Monti, Gloria Corpas Pastor, and Violeta Seretan (eds), Book Review.","Andy Way, Mohammad Hasanuzzaman, Rejwanul Haque",Machine Translation 341 1-6,0,2019
Andy Way,Building English-to-Serbian Machine Translation System for IMDb Movie Reviews,"Pintu Lohar, Maja Popovic, Andy Way",Proceedings of the 7th Workshop on Balto-Slavic Natural Language Processing …,3,2019
Andy Way,Lost in translation: Loss and decay of linguistic richness in machine translation,"Eva Vanmassenhove, Dimitar Shterionov, Andy Way",arXiv preprint arXiv:1906.12068,38,2019
Andy Way,Adaptation of machine translation models with back-translated data using transductive data selection methods,"Alberto Poncelas, Gideon Maillette De Buy Wenniger, Andy Way",arXiv preprint arXiv:1906.07808,11,2019
Andy Way,Post-editing neural machine translation versus translation memory segments,"Pilar Sánchez-Gijón, Joss Moorkens, Andy Way",Machine Translation 33 (1) 31-59,18,2019
Andy Way,Towards language-agnostic alignment of product titles and descriptions: a neural approach,"Daniel Stein, Dimitar Shterionov, Andy Way",Companion Proceedings of The 2019 World Wide Web Conference 387-392,1,2019
Andy Way,TermEval: An automatic metric for evaluating terminology translation in MT,"Rejwanul Haque, Mohammad Hasanuzzaman, Andy Way",Springer,2,2019
