,Title,Citation,Conference,Publisher,Journal,Date,Authors
1973,Multiscaled cross-correlation dynamics on sensecam lifelogged images,7,International Conference on Multimedia Modeling,"Springer, Berlin, Heidelberg",Unknown,2013,"Na Li, Martin Crane, Heather J Ruskin, Cathal Gurrin"
1974,Modelling drug coatings: A parallel cellular automata model of ethylcellulose-coated microspheres,7,Unknown,"IACSIT Press, Singapore",Unknown,2011,"Marija Bezbradica, Heather J Ruskin, Martin Crane"
1975,Edge-weighting of gene expression graphs,7,Unknown,World Scientific Publishing Company,Advances in Complex Systems,2010,"Grainne Kerr, Dimitri Perrin, Heather J Ruskin, Martin Crane"
1976,Epigenetic modelling,7,Unknown,European Research Consortium for Informatics and Mathematics,ERCIM News,2008,"Dimitri Perrin, Heather Ruskin, Martin Crane, Ray Walshe"
1977,Applications of High Performance Algorithms to Large Scale Cellular Automata Frameworks Used in Pharmaceutical Modelling.,6,Unknown,Unknown,J. Cell. Autom.,2016,"Marija Bezbradica, Martin Crane, Heather J Ruskin"
1978,Comparative correlation structure of colon cancer locus specific methylation: characterisation of patient profiles and potential markers across 3 array-based datasets,6,Unknown,Ivyspring International Publisher,Journal of Cancer,2015,"Ana Barat, Heather J Ruskin"
1979,"A cellular automata-based network model for heterogeneous traffic: Intersections, turns and their connection",6,International Conference on Cellular Automata,"Springer, Berlin, Heidelberg",Unknown,2012,"Jelena Vasic, Heather J Ruskin"
1980,Assessing the impact of HIV treatment interruptions using stochastic cellular Automata,5,Unknown,Academic Press,Journal of theoretical biology,2020,"Andreas Hillmann, Martin Crane, Heather J Ruskin"
1981,A Computational Lymph Tissue Model for Long Term HIV Infection Progression and Immune Fitness.,5,AICS,Unknown,Unknown,2017,"Andreas Hillmann, Martin Crane, Heather J Ruskin"
1982,Comparative analysis of asynchronous cellular automata in stochastic pharmaceutical modelling,5,Unknown,Elsevier,Journal of Computational Science,2014,"Marija Bezbradica, Heather J Ruskin, Martin Crane"
1983,Agent-based space-time discrete simulation of urban traffic including bicycles,5,Unknown,Elsevier,Procedia Computer Science,2012,"Jelena Vasic, Heather J Ruskin"
1984,Throughput and delay in a discrete simulation model for traffic including bicycles on urban networks,5,Unknown,Unknown,Proceedings of the ITRN 2011,2011,"Jelena Vasic, Heather Ruskin"
1985,Computational epigenetic micromodel-framework for parallel implementation and information flow,5,Unknown,Unknown,Unknown,2011,"Karthika Raghavan, Heather J Ruskin"
1986,In silico biology: Making the most of parallel computing,5,Unknown,IGI Global,Unknown,2010,"Dimitri Perrin, Heather J Ruskin, Martin Crane"
1987,HIV modelling-parallel implementation strategies,5,Unknown,Unknown,Unknown,2006,"Dimitri Perrin, Heather J Ruskin, Martin Crane"
1988,Shell analysis and effective disorder in a 2D froth,5,Unknown,Kluwer Academic Publishers-Plenum Publishers,Journal of statistical physics,2000,"Y Feng, HJ Ruskin"
1989,A note on stages of evolution in a 2D froth,5,Unknown,North-Holland,Physica A: Statistical Mechanics and its Applications,1997,"HJ Ruskin, Y Feng"
1990,Mathematical models for the transmission dynamics of HIV in Ireland,5,Unknown,Unknown,"Dublin, Dublin City University",1992,"CM Comiskey, HJ Ruskin, AD Wood"
1991,Higher connectivity in random mixtures= the universality class of 2-cluster percolation,5,Unknown,North-Holland,Physica A: Statistical Mechanics and its Applications,1982,"JAMS Duarte, HJ Ruskin"
1992,Understanding urban mobility and pedestrian movement,4,Unknown,IntechOpen,Unknown,2019,"Marija Bezbradica, Heather J Ruskin"
1993,Financial Time Series: Motif Discovery and Analysis Using VALMOD,4,International Conference on Computational Science,"Springer, Cham",Unknown,2019,"Eoin Cartwright, Martin Crane, Heather J Ruskin"
1994,Recent advances in computational epigenetics,4,Unknown,Dove Press,Unknown,2017,"Heather J Ruskin, Ana Barat"
1995,Integrating colon cancer microarray data: associating locus-specific methylation groups to gene expression-based classifications,4,Unknown,Multidisciplinary Digital Publishing Institute,Microarrays,2015,"Ana Barat, Heather J Ruskin, Annette T Byrne, Jochen HM Prehn"
1996,Data integration for microarrays: Enhanced inference for gene regulatory networks,4,Unknown,Multidisciplinary Digital Publishing Institute,Microarrays,2015,"Alina SÃ®rbu, Martin Crane, Heather J Ruskin"
1997,Application of statistical physics for the identification of important events in visual lifelogs,4,2013 IEEE International Conference on Bioinformatics and Biomedicine,IEEE,Unknown,2013,"Na Li, Martin Crane, Heather J Ruskin, Cathal Gurrin"
1998,The importance of boundary conditions in the simulation of dissolution in the USP dissolution apparatus,4,Unknown,Elsevier,Simulation Modelling Practice and Theory,2007,"Niall Mcmahon, Martin Crane, Heather J Ruskin, Lawrence Crane"
1999,Emergent computing-introduction to the special theme,4,Unknown,Unknown,"ERCIM News,(63)",2006,"Heather J Ruskin, Ray Walshe"
2000,Epochs in Market Sector Index Dataâ€”Empirical or Optimistic?,4,Unknown,"Springer, Tokyo",Unknown,2004,"G Keogh, S Sharifi, H Ruskin, M Crane"
2001,The Mechanics of Drug Dissolution,4,Unknown,WILEYâ€VCH Verlag,PAMM: Proceedings in Applied Mathematics and Mechanics,2003,"NM McMahon, M Crane, HJ Ruskin, L Crane"
2002,NTCIR-12 lifelog data analytics,3,Unknown,Unknown,Unknown,2016,"Na Li, Cathal Gurrin, Martin Crane, Heather J Ruskin"
2003,Modelling impact of morphological urban structure and cognitive behaviour on pedestrian flows,3,International Conference on Computational Science and Its Applications,"Springer, Cham",Unknown,2014,"Marija Bezbradica, Heather J Ruskin"
2004,Random matrix ensembles of time correlation matrices to analyze visual lifelogs,3,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2014,"Na Li, Martin Crane, Heather J Ruskin, Cathal Gurrin"
2005,"EGIAâ€“evolutionary optimisation of gene regulatory networks, an integrative approach",3,Unknown,"Springer, Cham",Unknown,2014,"Alina SÃ®rbu, Martin Crane, Heather J Ruskin"
2006,Modelling DNA methylation dynamics,3,Unknown,Unknown,DNA METHYLATIONâ€“FROM GENOMICS TO TECHNOLOGY,2012,"Karthika Raghavan, Heather J Ruskin"
2007,Computational analysis of epigenetic information in human DNA sequences,3,Unknown,Unknown,"Proceedings of the International Conference on Bioscience, Biochemistry and Bioinformatics 2011",2011,"Karthika Raghavan, Heather J Ruskin, Dimitri Perrin"
2008,Regulatory network modelling: Correlation for structure and parameter optimisation,3,Unknown,Unknown,"Proceedings of The IASTED Technology Conferences (International Conference on Computational Bioscience). Cambridge, Massachusetts",2010,"Alina SË†Ä±rbu, Heather J Ruskin, Martin Crane"
2009,Test for Long-Range Dependence in stock Market: Using Wavelet Transforms,3,Unknown,Unknown,Garyounis University Press. Journal of Science and Its Applications,2008,"Sharkasi A Al, HJ Ruskin, M Crane"
2010,Network emergence in immune system shape space,3,International Conference on Computational Science and Its Applications,"Springer, Berlin, Heidelberg",Unknown,2005,"Heather J Ruskin, John Burns"
2011,Modelling froth dynamics; persistence measures,3,Unknown,North-Holland,Physica A: Statistical Mechanics and its Applications,2001,"HJ Ruskin, Y Feng, B Zhu"
2012,Note on the susceptibility exponent for two-dimensional percolation,3,Unknown,Springer-Verlag,Zeitschrift fÃ¼r Physik B Condensed Matter,1982,"JAMS Duarte, HJ Ruskin"
2013,Lattice animals: d c= 8 for trees,3,Unknown,American Physical Society,Physical Review A,1982,"HJ Ruskin, JAMS Duarte"
2014,The Change in the Prefactor Exponent with Valence for Percolation in 3 and 4 Dimensions,3,Unknown,Verlag der Zeitschrift fÃ¼r Naturforschung,Zeitschrift fÃ¼r Naturforschung A,1980,"JAMS Duarte, HJ Ruskin"
2015,Methylation inhibitors and carcinogens in an agent-based model for colon crypt dynamics during cancer development,2,2013 European Modelling Symposium,IEEE,Unknown,2013,"Irina A Roznovat, Heather J Ruskin"
2016,Probabilistic pharmaceutical modelling: a comparison between synchronous and asynchronous cellular automata,2,International Conference on Parallel Processing and Applied Mathematics,"Springer, Berlin, Heidelberg",Unknown,2013,"Marija Bezbradica, Heather J Ruskin, Martin Crane"
2017,Modelling the genetic and epigenetic signals in colon cancer using a bayesian network,2,Unknown,"Springer, Cham",Unknown,2013,"Irina A RoznovÄƒÅ£, Heather J Ruskin"
2018,High-performance computing for data analytics,2,2012 IEEE/ACM 16th International Symposium on Distributed Simulation and Real Time Applications,IEEE,Unknown,2012,"Dimitri Perrin, Marija Bezbradica, Martin Crane, Heather J Ruskin, Christophe Duhamel"
2019,Visual experience for recognising human activities,2,International Competition on Evaluating AAL Systems through Competitive Benchmarking,"Springer, Berlin, Heidelberg",Unknown,2012,"Na Li, Martin Crane, Heather J Ruskin"
2020,A CA-Based Model for City Traffic Including Bicycles,2,Unknown,Unknown,Urban development,2012,"Jelena Vasic, HJ Rukin"
2021,Probabilistic models for dissolution of ethylcellulose coated microsphere,2,Unknown,ESM-Eurosis,Unknown,2010,"Marija Bezbradica, Ana Barat, Heather J Ruskin, Martin Crane"
2022,Visualization of complex biological systems: An immune response model using OpenGL,2,International Conference on Complex Sciences,"Springer, Berlin, Heidelberg",Unknown,2009,"John Burns, Heather J Ruskin, Dimitri Perrin, John Walsh"
2023,Correlation of worldwide marketsâ€™ entropies,2,Unknown,Unknown,Centro,2006,"JosÃ© Matos, SÃ­lvio Gama, Heather Ruskin, Adel Sharkasi, Martin Crane"
2024,Apples and Oranges: the difference between the Reaction of the Emerging and Mature Markets to Crashes,2,Unknown,"Springer, Tokyo",Unknown,2006,"Adel Sharkasi, Martin Crane, Heather J Ruskin"
2025,Size effects of slope dynamics in a 2-dimensional sandpile,2,Unknown,North-Holland,Physica A: Statistical Mechanics and its Applications,1994,"HJ Ruskin, AL McCarren"
2026,Directed Archimedean Nets: The Singularity Structure of Lattice Animals,2,Unknown,Royal Irish Academy,Proceedings of the Royal Irish Academy. Section A: Mathematical and Physical Sciences,1992,HJ Ruskin
2027,Averages at pc and p= 0: effective coordination number for directed alternating nets,2,Unknown,North-Holland,Physics Letters A,1992,HJ Ruskin
2028,Efficient Computational Models for assessment of Spatial Infection Features,1,2019 International Conference on High Performance Computing & Simulation (HPCS),IEEE,Unknown,2019,"Andreas Hillmann, Martin Crane, Heather J Ruskin"
2029,Theoretical cross-comparative analysis on dynamics of small intestine and colon crypts during cancer initiation,1,Unknown,IET,IET systems biology,2015,"Irina A RoznovÄƒÅ£, Heather J Ruskin"
2030,A computational analysis on methylation inhibition during intestinal cancer initiation,1,2014 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),IEEE,Unknown,2014,"Irina A RoznovÄƒÅ£, Heather J Ruskin"
2031,A Wavelet-Based Method to Measure Stock Market Development,1,Unknown,Unknown,Unknown,2014,"Adel Al Sharkasi, Heather J Ruskin, Martin Crane, JosÃ© Abilio de Oliveira Matos, SÃ­lvio MA Gama"
2032,A CA-Based Model for City Traffic Including Bicycles,1,Unknown,IntechOpen,Unknown,2012,"Jelena VasiÄ‡, Heather J Ruskin"
2033,"A discrete simulation model for traffic including bicycles on urban networks, applied to intersection of two one-way streets",1,International Conference on Parallel Processing and Applied Mathematics,"Springer, Berlin, Heidelberg",Unknown,2011,"Jelena Vasic, Heather J Ruskin"
2034,Can random matrix filters be used for trading in the foreign exchange market?-A comparison of foreign exchange and stock portfolio filtering,1,Unknown,Unknown,JDySES,2011,"J Daly, HJ Ruskin, M Crane"
2035,A numerical model of a drug particle dissolving in a dissolution test apparatus,1,Unknown,WILEYâ€VCH Verlag,PAMM: Proceedings in Applied Mathematics and Mechanics,2009,"Niall M McMahon, Lawrence J Crane, Heather J Ruskin, Martin Crane, Deirdre M D'Arcy, Anneâ€Marie Healy, Owen I Corrigan"
2036,Compartmentalised agent-based approach to epidemiological modelling,1,Unknown,Unknown,Unknown,2009,"BenoÃ®t Claude, Heather J Ruskin, Dimitri Perrin"
2037,Pattern discovery in gene expression data,1,Unknown,IGI Global,Unknown,2009,"GrÃ¡inne Kerr, Heather Ruskin, Martin Crane"
2038,Multi-agent simulations of the immune response to HIV during the acute stage of infection,1,Unknown,World Scientific Publishing Company,International Journal of Modern Physics C,2008,"R Walshe, HJ Ruskin, A Callaghan"
2039,Correlation of worldwide markets' entropies: time-scale approach,1,Unknown,Unknown,arXiv preprint physics/0607296,2006,"JosÃ© AO Matos, SÃ­lvio MA Gama, Heather J Ruskin, Adel Sharkasi, Martin Crane"
2040,Workshop on Modeling Complex Systems (MCS 2006)-Comparison of Homogeneous and Heterogeneous Motorised Traffic at Signalised and Two-Way Stop Control Single Lane Intersection,1,Unknown,"Berlin: Springer-Verlag, 1973-",Lecture Notes in Computer Science,2006,"Puspita Deo, Heather J Ruskin"
2041,A stochastic model of the effector T cell lifecycle,1,International Conference on Cellular Automata,"Springer, Berlin, Heidelberg",Unknown,2004,"John Burns, Heather J Ruskin"
2042,A model of immune suppression and repertoire evolution,1,International Conference on Computational Science,"Springer, Berlin, Heidelberg",Unknown,2003,"John Burns, Heather J Ruskin"
2043,Viral Strain Diversity and Immune Response-a Computational Model,1,Unknown,Unknown,"Proceedings of the IASTED International Conference, Biomedical Engineering",2003,"John Burns, H Ruskin"
2044,Constrained geometries in soap froth dynamics,1,Unknown,North-Holland,Physica A: Statistical Mechanics and its Applications,2002,"HJ Ruskin, Y Feng"
2045,Modelling the Human Immune System using the Shape Space Paradigm.,1,Unknown,Unknown,"School of Computer Applications, Dublin City University, Glasnevin, Dublin",2002,"J Burns, HJ Ruskin"
2046,A Mesoscopic Approach to Modeling Immunological Memory,1,International Conference on Computational Science,"Springer, Berlin, Heidelberg",Unknown,2002,"Y ongle Liu, Heather J Ruskin"
2047,Modelling Traffic Flow at a Roundabout in Urban Networks,1,Unknown,"Working Paper CA-0601, School of Computer Applications, Dublin City University. http://www. compapp. dcu. ie/CA_Working_Papers/wp01. html",Unknown,2001,"Ruili Wang, Heather J Ruskin"
2048,Critical behavior of sandpile vortices under variable charge,1,Unknown,Kluwer Academic Publishers-Plenum Publishers,Journal of statistical physics,1993,HJ Ruskin
2049,Directed alternating lattices and the site-to-bond ratio for animals and trees,1,Unknown,American Physical Society,Physical Review A,1992,"HJ Ruskin, AMR Cadilhe, JAGSM Carvalho"
2050,Financial Time Series: Market Analysis Techniques Based on Matrix Profiles,Unknown,Unknown,Multidisciplinary Digital Publishing Institute,Engineering Proceedings,2021,"Eoin Cartwright, Martin Crane, Heather J Ruskin"
2051,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,Unknown,Unknown,Academic Press,Unknown,2020,"Marija Bezbradica, Martin Crane, Heather J Ruskin"
2052,Improving Confidence in Simulations through the Application of Multiple Updating Strategies,Unknown,2019 International Conference on High Performance Computing & Simulation (HPCS),IEEE,Unknown,2019,"Joseph Kehoe, Martin Crane, Heather Ruskin"
2053,Rothamsted Repository Download,Unknown,Unknown,Unknown,JOURNAL OF COMPUTATIONAL BIOLOGY,2017,"I Balaur, M Saqi, A Barat, A Lysenko, A Mazein, HJ Ruskin"
2054,New dimensionsâ€“modelling interrupted antiretroviral treatment using cellular automata,Unknown,Unknown,Unknown,F1000Research,2016,"Andreas Hillmann, Martin Crane, Heather J Ruskin"
2055,Evaluating the Volatility Behaviour in Irish ISEQ Overall Index Using GARCH Models,Unknown,Unknown,Unknown,"Journal of Economics, Management and Trade",2016,"Adel M Alsharkasi, Martin Crane, Heather J Ruskin"
2056,Computational Models & Methods in Systems Biology & Medicine,Unknown,Unknown,IET,IET systems biology,2015,"Heather J Ruskin, Irina A Roznovat"
2057,Building cross-scale models of epigenetic mechanisms,Unknown,2014 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),IEEE,Unknown,2014,"Heather J Ruskin, Dimitri Perrin, Irina A RoznovÄƒÅ£"
2058,LogisticCryptâ€”A logistic model of intestinal crypt structure,Unknown,2014 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),IEEE,Unknown,2014,"Irina A RoznovÄƒÅ£, Heather J Ruskin"
2059,Applying random matrix theory filters on SenseCam images,Unknown,Unknown,Unknown,ERCIM News,2013,"Na Li, Martin Crane, Cathal Gurrin, Heather J Ruskin"
2060,Interaction of Cars and Bicycles on a One-Way Road Intersection: A Network CA-Based Model,Unknown,Unknown,"Springer, Berlin, Heidelberg",Unknown,2013,"Jelena Vasic, Heather J Ruskin"
2061,"http://www. springerlink. com/content/133v82170m446n33/A discrete flow simulation model for urban road networks, with application to combined car and single-file bicycle traffic",Unknown,Unknown,Unknown,Unknown,2011,"Jelena Vasic, Heather J Ruskin"
2062,A Study of Correlation and Entropy for Multiple Time Series,Unknown,Unknown,"Springer, Dordrecht",Unknown,2011,"JosÃ© AO Matos, SÃ­lvio MA Gama, Heather J Ruskin, Adel Al Sharkasi, Martin Crane"
2063,Modelling Gene Regulatory Networks-An Integrative Approach,Unknown,Unknown,Unknown,Unknown,2010,"Alina Sirbu, Heather J Ruskin, Martin Crane"
2064,From bio-inspired computing to e-biology,Unknown,"2009 Seventh International Conference on Creating, Connecting and Collaborating through Computing",IEEE,Unknown,2009,"Dimitri Perrin, Heather J Ruskin"
2065,Increasing biological accuracy in models of HIV progression while minimising complexity,Unknown,Unknown,Elsevier,IFAC Proceedings Volumes,2009,"ED McGuinness, Heather J Ruskin, Martin Crane"
2066,Correspondence: Response to the comments by Bernaschi et al. on'Optimisation and parallelisation strategies for Monte Carlo simulation of HIV infection',Unknown,Unknown,"Pergamon Press, Inc.",Computers in Biology and Medicine,2008,"D Hecquet, Heather J Ruskin, Martin Crane"
2067,In-Silico Visualization of Immune Response,Unknown,2007 1st International Conference on Bioinformatics and Biomedical Engineering,IEEE,Unknown,2007,"John Burns, Heather J Ruskin"
2068,Long-term memory in the Irish market (ISEQ): evidence from wavelet analysis,Unknown,Unknown,Unknown,arXiv preprint physics/0607182,2006,"Adel Sharkasi, Heather J Ruskin, Martin Crane"
2069,Multiple parameterisation of human immune response in HIV: Many-cell models,Unknown,International Conference on Computational Science and Its Applications,"Springer, Berlin, Heidelberg",Unknown,2004,"Yu Feng, Heather J Ruskin, Yongle Liu"
2070,A sequence-focused parallelisation of EMBOSS on a cluster of workstations,Unknown,International Conference on Computational Science and Its Applications,"Springer, Berlin, Heidelberg",Unknown,2004,"Karl Podesta, Martin Crane, Heather J Ruskin"
2071,A Stochastic Model of the Effector,Unknown,Unknown,Springer,"Cellular Automata:... International Conference on Cellular Automata for Research and Industry, ACRI...: Proceedings",2004,"John Burns, Heather J Ruskin"
2072,Part III-Workshop on Computational Modeling of Transport on Networks-Network Topology in Immune System Shape Space,Unknown,Unknown,"Berlin: Springer-Verlag, 1973-",Lecture Notes in Computer Science,2004,"J Burns, HJ Ruskin"
2073,Persistence measures for 2D soap froth,Unknown,Unknown,World Scientific Publishing Company,International Journal of Modern Physics C,2003,"Y Feng, HJ Ruskin, B Zhu"
2074,A Monte Carlo Model of Immune System Tâ€Cell Receptor Crossâ€Reactivity During Primary Response,Unknown,Unknown,American Institute of Physics,AIP Conference Proceedings,2003,"J Burns, HJ Ruskin"
2075,Virtual phase dynamics for constrained geometries in a soap froth,Unknown,International Conference on Computational Science,"Springer, Berlin, Heidelberg",Unknown,2002,"Yu Feng, Heather J Ruskin, Bao Zhu"
2076,Effect of Mutation on Immune Response in an HIV Response Model via Population Dynamics of Cell-A Monte Carlo Approach,Unknown,Unknown,Unknown,APS March Meeting Abstracts,2001,"Ras Pandey, Heather Ruskin, Rachel Mannion"
2077,Simulating 2-D Froths; Fingerprinting the Dynamics,Unknown,Unknown,Unknown,processing,2001,"HJ Ruskin, Y Feng"
2078,Modelling 2D Froth; Focus on Coding,Unknown,Unknown,Unknown,Unknown,2000,"B Zhu, HJ Ruskin, Y Feng"
2079,Nonlinear Problems-Introduction,Unknown,Unknown,Unknown,Unknown,1998,"Heather Ruskin, JosÃ© AMS Duarte"
2080,Introduction to â€œNonlinear Problemsâ€,Unknown,International Conference on Vector and Parallel Processing,"Springer, Berlin, Heidelberg",Unknown,1998,"Heather Ruskin, JosÃ© AMS Duarte"
2081,Index of authors and papers to Volume 247,Unknown,Unknown,Unknown,networks,1997,"F Aliotta, ME Fontanella, M Sacchi, C Vasi, Y Almirantis, A Provata, VV Atrazhev, AA Ovchinnikov, EJ Banning, JP van der Weele, MM Kettenis, MC Barbosa, PS Kuhn, G Bhrdos, T Kovhcs, JH Barry, M Khatun, R Block, L Jansen, HW Capel, M Kollmann, A Chikhaoui, JP Dudon, EV Kustova, EA Nagnibeda, A de Kuijper, JMVA Koelman, R Dell'Anna, O Pilla, A Diehl, MH Ernst, L Acedo, Y Feng, HJ Ruskin, E Golshtein, T Elperin, FJ Gordillo-Vhzquez, YE Gorbachev, M Greiner, J Giesemann"
2082,Piezo-spectroscopic data analysis: a PC tool,Unknown,Unknown,IET Digital Library,"IEE Proceedings-Science, Measurement and Technology",1994,"AL McCarren, HJ Ruskin, KG McGuigan, MO Henry"
2083,Connectivity Studies in Percolation and Related Models,Unknown,Unknown,Unknown,Unknown,1993,Heather J Ruskin
2084,This file was downloaded from: http://eprints. qut. edu. au/82667,Unknown,Unknown,Unknown,Unknown,Unknown,"John Burns, Heather J Ruskin, Dimitri Perrin, John Walsh"
2085,This file was downloaded from: http://eprints. qut. edu. au/82664,Unknown,Unknown,Unknown,Unknown,Unknown,"Benoit Claude, Dimitri Perrin, Heather J Ruskin"
2086,This file was downloaded from: http://eprints. qut. edu. au/82681,Unknown,Unknown,Unknown,Unknown,Unknown,"D Perrin, M Bezbradica, M Crane, HJ Ruskin, C Duhamel"
2087,Probabilistic Pharmaceutical Modelling: A Comparison Between Synchronous and Asynchronous Cellular...,Unknown,Unknown,Unknown,Unknown,Unknown,"Marija Bezbradica, Heather J Ruskin, Martin Crane"
2088,Medical Research Society 2 9~,Unknown,Unknown,Unknown,Unknown,Unknown,"SOCIO-ECONOMIC STATUS IN A LONDON, JH FULLER, H RUSKIN"
2089,Modelling the in vitro Dissolution of Soluble Binary Drug Delivery Systems using Direct Monte Carlo techniques,Unknown,Unknown,Unknown,Unknown,Unknown,"Ana Barat, Heather J Ruskin, Martin Crane"
2090,Finite size effect and variation in Monte Carlo simulations of an Immuneâ€“response Model,Unknown,Unknown,Unknown,Unknown,Unknown,"Y Liu, HJ Ruskin"
2091,Cumulative author index of Volume 311,Unknown,Unknown,Unknown,Saber,Unknown,"AC Aguiar Pinto, B Baseia, E Bich, S Bock, GS Bromhal, M Chen, SB Duarte, F El-Mellouhi, M Ferer, KM Fonseca Romero, SP Friedman, JA Glazier, P Jefferies, NF Johnson, PS Kuhn, A Lemarchand, J Levitan, M Lewkowicz, AA Likalter, KY Lin, Y Liu, AC Lobo, S Martins, WAM Morgado, V Mosquera, ER Mucciolo, J Muller, MC Nemes, B Nowakowski, RB Pandey, T Platkowski, D Portes Jr, N Puzanov, J Richer, DA Robinson, H Rodrigues, HJ Ruskin, K Saermark, A Saucier, W Sekkal, Y Shi, N Shnerb, DH Smith, JF Stilck, MT Thomaz, LM Varela, E Vogel"
2092,Index of authors and papers to Volume 183,Unknown,Unknown,Unknown,Unknown,Unknown,"EV Albano, K Binder, DW Heermann, W Paul, G Albinet, A Tremblay, HW Capel, R Kluiving, JM Carvalho, JAMS Duarte, WJ Caspers, MRMJ Traa, C Diks, Th Ruijgrok, HJ Ruskin, B Fourcade, M Gitterman, I Dayan"
2093,The E ectiveness of the Use of Software on Math and English Learning at Junior Primary Level,Unknown,Unknown,Unknown,Unknown,Unknown,"Colette Fitzgerald, Heather Ruskin"
2094,Stock Market Behaviour for Different Time Intervals with Different Volatility Levels.,Unknown,Unknown,Unknown,Unknown,Unknown,"Adel Sharkasi, Heather J Ruskin, Martin Crane"
2095,TECHNOLOGY ON THE DESK,Unknown,Unknown,Unknown,Unknown,Unknown,"Anne Brogan, Heather Ruskin, Liam Tuohey"
2096,BIBM Steering Committee Chair,Unknown,Unknown,Unknown,Unknown,Unknown,"Xiaohua Tony Hu, Keith Chen, Xue-wen Chen, Lounana Chen, Michael Pycraft Hughes, Taesung Park, Fangxiang Wu, Zhongming Zhao, Huiru Jane Zheng, Kwang-Hyun Cho, Yadong Wang, Werner Dubitzky, David Gibert, Jin-Kao Hao, Daniel Berrar, Paul Wash, Carlos Toro, GrÃ©gory Maclair, JesÃºs Aguilar-Ruiz, Heather Ruskin, Dewar Finlay, Feng Lou"
2097,Conference General Chairs,Unknown,Unknown,Unknown,Unknown,Unknown,"Wolfgang Kainz, A Aristidou UK, G Bit-Babik, Motorola Dr D Bruno, J Burns, M Chen, WW Cui, M Douglas, Motorola Dr Z Guo, S Khuri, ZJ Hu, BH Jansen, CWS Jansen, L Kurgan, JY Lee, ML Li, Y Lin, J Liu, G Lubec, W Mao, K MÃ¶ller, M Moustafa, K Razi Naqvi, XF Pang, C Raoufi, QS Ren, H Ruskin, D Schwenninger"
2098,Generalising a Pohlhausen-Type Solution for Dissolution from Multi-Layer Drug Compacts,Unknown,Unknown,Unknown,Unknown,Unknown,"N McMahon, M Crane, H Ruskin, L Crane"
2099,Inference and learning in probabilistic logic programs using weighted Boolean formulas,284,Unknown,Cambridge University Press,Theory and Practice of Logic Programming,2015,"Daan Fierens, Guy Van den Broeck, Joris Renkens, Dimitar Shterionov, Bernd Gutmann, Ingo Thon, Gerda Janssens, Luc De Raedt"
2100,Lost in translation: loss and decay of linguistic richness in machine translation,45,European Association for Machine Translation,European Association for Machine Translation,Unknown,2019,"Eva Vanmassenhove, Dimitar Shterionov, Andy Way"
2101,Human versus automatic quality evaluation of NMT and PBSMT,44,Unknown,Springer Netherlands,Machine Translation,2018,"Dimitar Shterionov, Riccardo Superbo, Pat Nagle, Laura Casanellas, Tony Oâ€™dowd, Andy Way"
2102,Empirical evaluation of NMT and PBSMT quality for large-scale translation production,25,"20th Annual Conference of the European Association for Machine Translation, EAMT 2017",Unknown,Unknown,2017,"Dimitar Shterionov, Pat Nagle, Laura Casanellas, Riccardo Superbo, Tony O'Dowd"
2103,Combining SMT and NMT back-translated data for efficient NMT,12,Unknown,Unknown,arXiv preprint arXiv:1909.03750,2019,"Alberto Poncelas, Maja Popovic, Dimitar Shterionov, Gideon Maillette De Buy Wenniger, Andy Way"
2104,ProbLog2: From probabilistic programming to statistical relational learning,12,Unknown,Unknown,Proceedings of the NIPS Probabilistic Programming Workshop,2012,"Joris Renkens, Dimitar Shterionov, Guy Van den Broeck, Jonas Vlasselaer, Daan Fierens, Wannes Meert, Gerda Janssens, Luc De Raedt"
2105,DNF sampling for ProbLog inference,11,Unknown,Unknown,arXiv preprint arXiv:1009.3798,2010,"Dimitar Sht Shterionov, Angelika Kimmig, Theofrastos Mantadelis, Gerda Janssens"
2106,A review of the state-of-the-art in automatic post-editing,10,Unknown,Springer Netherlands,Unknown,2020,"FÃ©lix do Carmo, Dimitar Shterionov, Joss Moorkens, Joachim Wagner, Murhaf Hossari, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way"
2107,The most probable explanation for probabilistic logic programs with annotated disjunctions,9,Unknown,"Springer, Cham",Unknown,2015,"Dimitar Shterionov, Joris Renkens, Jonas Vlasselaer, Angelika Kimmig, Wannes Meert, Gerda Janssens"
2108,Machine translationese: Effects of algorithmic bias on linguistic complexity in machine translation,8,Unknown,Unknown,arXiv preprint arXiv:2102.00287,2021,"Eva Vanmassenhove, Dimitar Shterionov, Matthew Gwilliam"
2109,Data acquisition and modeling for learning and reasoning in probabilistic logic environment,8,Unknown,Unknown,Proceedings of the 15th Portuguese Conference on Artificial Intelligence,2011,"Dimitar Shterionov, Gerda Janssens"
2110,Implementation and performance of probabilistic inference pipelines,7,International Symposium on Practical Aspects of Declarative Languages,"Springer, Cham",Unknown,2015,"Dimitar Shterionov, Gerda Janssens"
2111,Selecting backtranslated data from multiple sources for improved neural machine translation,6,Unknown,Unknown,arXiv preprint arXiv:2005.00308,2020,"Xabier Soto, Dimitar Shterionov, Alberto Poncelas, Andy Way"
